MSISDN,ProductID,ActionType,MonthlyValueQAR,Segment,LTV_Band,Lifecycle,AccountType,Language,Tenure_M,Churn_Prob,Days_To_Renewal,Data_Cap_GB,Data_Used_GB,Data_Usage_Pct,Overage_Months,Voice_Min,Intl_Min,Roaming_Days,Usage_Trend,Top_App,Pct_5G,ARPU_QAR,ARPU_Trend,Late_Payments,Outstanding_QAR,Dunning_Flag,Payment_Method,Device_Model,Device_Type,Device_Tier,Network_Capability,Device_Age_M,Upgrade_Eligible,Last_Upgrade_M,Avg_DL_Speed_Mbps,Dropped_Call_Rate,Latency_ms,Coverage_Score,Cell_Congestion,Network_Complaints_90d,Network_Issue_Flag,Channel_Affinity,App_Logins_30d,Consent_Flag,Loyalty_Tier,Last_Campaign_Resp,Recent_Complaint,Sentiment,NPS,Call_Transcript,NBO_Alt_Action,NBO_Reason,Accept_Ind
97455738310,Retention_Save_25pct,Retention,90.0,Mass,MED,Growth,Postpaid,AR,110,0.638,293,5,2.6,51.9,1,135,0,0,Rising,WhatsApp,0.5,120.2,Flat,0,0.0,0,Autopay_Card,Galaxy S23,Smartphone,Flagship,5G,15,0,19,103.2,0.053,26,0.82,0.03,0,0,Push,3,1,Silver,Ignored,0,Neutral,5,customer inquired about upgrading their phone,Device_Upgrade_iPhone,Loyalty reward due,1
97459780600,5G_Unlimited_Upgrade,Upsell,200.0,HVC,HIGH,Growth,Prepaid,EN,75,0.017,22,100,59.4,59.4,2,146,0,0,Stable,Gaming,0.81,106.5,Up,1,134.4,0,Bank_Transfer,Huawei P60,Smartphone,Flagship,5G,5,0,57,93.2,0.043,60,0.68,0.31,0,0,SMS,6,0,Platinum,Ignored,0,Positive,7,customer wanted to join the loyalty program,200mins_Upsell,Renewal window,0
97457621770,10GB_Aggressive_HVC,Retention,120.0,HVC,MED,Renewal,Postpaid,AR,86,0.221,35,10,0.8,7.9,2,216,5,5,Rising,Snapchat,0.74,56.9,Up,0,0.0,0,Cash,Galaxy S23,Smartphone,Flagship,5G,40,1,21,137.4,0.049,36,0.71,0.13,0,0,SMS,8,1,None,Accepted,0,Neutral,2,customer wanted to join the loyalty program,Home_Free_OoredooTV,High data usage trend,0
97457850256,Retention_Save_25pct,Retention,90.0,Mass,LOW,Maturity,Prepaid,EN,70,0.233,163,50,18.2,36.5,0,523,30,0,Stable,YouTube,0.23,137.9,Flat,0,0.0,0,Manual_Card,Galaxy A54,Smartphone,Mid,4G,19,0,51,64.4,0.031,43,0.77,0.06,0,0,SMS,7,1,Gold,Ignored,0,Neutral,7,no recent call-center contact,Data_AddOn_5GB,Renewal window,0
97457457294,1GB_plus_100mins,NBO,40.0,Youth,MED,Renewal,Postpaid,EN,93,0.297,18,100,101.3,101.3,3,205,0,0,Stable,Gaming,0.39,70.3,Flat,0,0.0,0,Autopay_Card,iPhone 14,Smartphone,Mid,4G,27,1,51,58.4,0.042,62,0.64,0.19,0,0,Push,6,1,Silver,Ignored,0,Neutral,7,customer asked how to add more data,200mins_Upsell,Loyalty reward due,0
97458074577,Home_Free_OoredooTV,CrossSell,150.0,HVC,LOW,Maturity,Prepaid,AR,117,0.2,324,100,31.7,31.7,3,381,0,0,Rising,Gaming,0.6,60.8,Down,0,0.0,0,Manual_Card,Galaxy S23,Smartphone,Flagship,5G,25,1,14,199.1,0.035,27,0.82,0.12,0,0,Call,8,1,Gold,Accepted,0,Neutral,10,customer inquired about upgrading their phone,Retention_Save_25pct,Churn risk detected,0
97455619038,Data_AddOn_5GB,NBO,50.0,Mass,MED,Growth,Postpaid,EN,55,0.359,32,50,33.7,67.5,3,584,0,0,Stable,Netflix,0.3,108.5,Up,0,0.0,0,Manual_Card,iPhone 15,Tablet,Flagship,5G,17,0,58,100.9,0.017,38,0.64,0.12,0,0,Email,13,1,Platinum,Ignored,0,Positive,9,customer wanted to join the loyalty program,Home_Free_OoredooTV,Churn risk detected,0
97452153022,200mins_Upsell,Upsell,35.0,Mass,MED,Growth,Postpaid,EN,50,0.029,93,50,57.7,115.4,2,357,0,0,Stable,Instagram,0.16,160.8,Down,0,0.0,0,Autopay_Card,Huawei P60,Smartphone,Flagship,5G,14,0,27,123.6,0.051,89,0.36,0.55,0,0,Email,10,0,Silver,Ignored,0,Neutral,8,customer asked about international calling rates,10GB_Aggressive_HVC,Loyalty reward due,0
97458557733,Roaming_Daily_Pass,CrossSell,60.0,Mass,HIGH,Growth,Prepaid,EN,21,0.044,26,5,3.8,76.7,1,223,0,0,Rising,WhatsApp,0.44,124.8,Up,0,0.0,0,Autopay_Card,Galaxy A54,Smartphone,Mid,5G,36,1,37,199.9,0.006,32,0.6,0.1,0,0,WhatsApp,9,1,Gold,Ignored,0,Positive,9,customer asked about international calling rates,Device_Upgrade_iPhone,Churn risk detected,1
97455053472,10GB_Aggressive_HVC,Retention,120.0,Mass,HIGH,Maturity,Postpaid,EN,117,0.494,153,100,49.4,49.4,0,509,7,0,Stable,Gaming,0.47,95.7,Flat,0,0.0,0,Cash,Other,Smartphone,Budget,4G,32,1,2,56.8,0.076,36,0.82,0.08,0,0,WhatsApp,9,1,Platinum,Rejected,0,Neutral,8,customer asked about international calling rates,Data_AddOn_5GB,Loyalty reward due,0
97455503166,Device_Upgrade_iPhone,Upsell,280.0,Mass,MED,Maturity,Postpaid,AR,109,0.347,287,100,19.3,19.3,1,358,34,0,Falling,Netflix,0.22,72.7,Flat,0,0.0,0,Bank_Transfer,iPhone 15,Smartphone,Flagship,5G,38,1,50,145.9,0.038,30,0.59,0.16,0,0,WhatsApp,10,1,None,Ignored,0,Positive,0,customer asked how to add more data,200mins_Upsell,Churn risk detected,1
97454337181,Loyalty_Points_2x,Retention,0.0,Mass,MED,AtRisk,Prepaid,AR,85,0.427,180,10,11.6,115.5,0,178,0,3,Stable,TikTok,0.37,147.9,Down,0,0.0,0,Autopay_Card,Pixel 8,Smartphone,Flagship,5G,15,0,19,138.5,0.044,32,0.76,0.13,1,1,Push,8,1,None,Ignored,0,Neutral,10,customer wanted to join the loyalty program,Retention_Save_25pct,Loyalty reward due,0
97452642946,Data_AddOn_5GB,NBO,50.0,Mass,HIGH,Growth,Postpaid,EN,79,0.548,189,5,3.3,65.3,1,689,0,0,Falling,Instagram,0.17,52.2,Up,0,0.0,0,Manual_Card,iPhone 15,Router/MiFi,Flagship,5G,11,0,34,151.8,0.054,19,0.77,0.02,0,0,Push,8,1,None,Accepted,0,Positive,4,customer wanted to join the loyalty program,Loyalty_Points_2x,Loyalty reward due,0
97459340883,Loyalty_Points_2x,Retention,0.0,Business,HIGH,Maturity,Prepaid,AR,25,0.433,86,100,46.1,46.1,2,247,0,1,Stable,Snapchat,0.52,132.2,Down,0,0.0,0,Cash,Other,Smartphone,Budget,4G,30,1,39,35.3,0.036,50,0.7,0.22,1,1,Call,9,1,Silver,Rejected,0,Neutral,8,no recent call-center contact,1GB_plus_100mins,Device upgrade eligible,0
97458034106,5G_Unlimited_Upgrade,Upsell,200.0,Mass,MED,Growth,Postpaid,AR,109,0.169,101,20,9.4,46.9,2,240,0,0,Rising,Instagram,0.82,92.0,Flat,0,0.0,0,Cash,Galaxy S23,Smartphone,Flagship,5G,3,0,43,194.2,0.086,26,0.87,0.09,0,0,Push,8,1,None,Ignored,1,Negative,5,customer threatened to switch to a competitor,Data_AddOn_5GB,Device upgrade eligible,1
97456794785,Loyalty_Points_2x,Retention,0.0,Business,LOW,Renewal,Hybrid,AR,7,0.215,30,5,4.8,95.3,1,87,2,0,Stable,TikTok,0.23,66.8,Up,0,0.0,0,Manual_Card,iPhone 14,Smartphone,Mid,5G,37,1,22,187.6,0.076,34,0.59,0.2,0,0,WhatsApp,7,1,Silver,Ignored,0,Neutral,4,customer wanted to join the loyalty program,1GB_plus_100mins,Device upgrade eligible,1
97454621728,Device_Upgrade_iPhone,Upsell,280.0,Business,LOW,Onboarding,Prepaid,EN,74,0.07,14,10,5.7,57.3,0,162,0,0,Rising,WhatsApp,0.91,109.9,Down,0,0.0,0,Manual_Card,Pixel 8,Smartphone,Flagship,5G,28,1,33,132.7,0.025,52,0.58,0.2,0,0,Call,6,1,Gold,Ignored,0,Neutral,10,customer asked how to add more data,1GB_plus_100mins,Churn risk detected,0
97458404853,Device_Upgrade_iPhone,Upsell,280.0,Youth,MED,Maturity,Postpaid,EN,31,0.391,162,50,24.2,48.5,3,129,0,0,Rising,Gaming,0.12,81.5,Flat,0,0.0,0,Cash,Galaxy S23,Smartphone,Flagship,5G,41,1,51,203.9,0.058,30,0.79,0.08,0,0,Call,12,1,Silver,Ignored,0,Neutral,0,customer inquired about upgrading their phone,200mins_Upsell,Loyalty reward due,1
97455908861,5G_Unlimited_Upgrade,Upsell,200.0,Mass,HIGH,Growth,Postpaid,EN,55,0.303,359,50,37.3,74.7,3,90,0,0,Rising,YouTube,0.96,75.5,Down,1,5.3,0,Cash,Huawei P60,Smartphone,Flagship,5G,30,1,35,101.5,0.08,38,0.69,0.21,0,0,Call,7,1,None,Ignored,1,Negative,8,customer unhappy after roaming charges abroad,Data_AddOn_5GB,High data usage trend,0
97454990727,1GB_plus_100mins,NBO,40.0,Mass,HIGH,Growth,Prepaid,AR,12,0.34,208,50,15.8,31.6,2,283,5,0,Rising,Gaming,0.96,72.7,Down,1,2.6,0,Bank_Transfer,iPhone 15,Smartphone,Flagship,5G,32,1,22,199.8,0.05,31,0.68,0.09,1,1,SMS,13,1,None,Ignored,0,Positive,1,no recent call-center contact,Loyalty_Points_2x,Device upgrade eligible,0
97455054135,Retention_Save_25pct,Retention,90.0,Mass,HIGH,Maturity,Prepaid,AR,17,0.216,36,10,9.3,92.6,2,73,0,0,Stable,Snapchat,0.56,117.8,Up,1,71.3,0,Bank_Transfer,iPhone 14,Smartphone,Mid,4G,46,1,42,53.9,0.01,56,0.8,0.11,0,0,WhatsApp,8,1,None,Ignored,0,Neutral,6,customer asked about international calling rates,Loyalty_Points_2x,Device upgrade eligible,1
97453045148,Roaming_Daily_Pass,CrossSell,60.0,Mass,MED,Growth,Postpaid,AR,45,0.243,153,50,9.3,18.6,3,165,0,0,Falling,Netflix,0.68,70.3,Down,0,0.0,0,Manual_Card,Other,Smartphone,Budget,4G,11,0,13,36.6,0.093,89,0.69,0.39,0,0,SMS,11,1,Silver,None,0,Neutral,3,customer asked about international calling rates,Device_Upgrade_iPhone,Loyalty reward due,0
97451829223,200mins_Upsell,Upsell,35.0,HVC,HIGH,Maturity,Postpaid,EN,48,0.226,133,100,100.2,100.2,1,137,0,0,Rising,Netflix,0.78,195.8,Flat,1,13.4,0,Autopay_Card,iPhone 14,Router/MiFi,Mid,5G,29,1,14,171.3,0.064,44,0.85,0.16,0,0,WhatsApp,9,1,Silver,Ignored,0,Neutral,6,no recent call-center contact,Loyalty_Points_2x,Churn risk detected,0
97455991262,Loyalty_Points_2x,Retention,0.0,Business,MED,Growth,Postpaid,AR,105,0.361,255,5,3.6,72.7,2,155,0,0,Falling,Snapchat,0.2,115.6,Down,0,0.0,0,Cash,Pixel 8,Smartphone,Flagship,5G,14,0,18,162.3,0.073,49,0.37,0.22,0,0,SMS,4,1,Silver,Rejected,0,Neutral,10,customer wanted to join the loyalty program,Retention_Save_25pct,Churn risk detected,0
97458991007,Loyalty_Points_2x,Retention,0.0,Mass,LOW,AtRisk,Prepaid,EN,72,0.565,248,20,22.5,112.5,2,250,0,1,Stable,WhatsApp,0.33,84.2,Up,0,0.0,0,Cash,iPhone 15,Smartphone,Flagship,5G,23,1,56,72.4,0.114,109,0.48,0.69,0,0,WhatsApp,14,1,Silver,Ignored,0,Neutral,9,customer asked about international calling rates,Device_Upgrade_iPhone,High data usage trend,0
97451574355,Roaming_Daily_Pass,CrossSell,60.0,Youth,MED,Growth,Prepaid,AR,4,0.218,357,50,15.0,29.9,2,27,0,0,Falling,Instagram,0.33,76.1,Up,0,0.0,0,Cash,iPhone 14,Smartphone,Mid,4G,12,0,44,39.4,0.043,40,0.72,0.07,0,0,Call,16,1,Silver,None,0,Neutral,10,customer inquired about upgrading their phone,1GB_plus_100mins,Device upgrade eligible,0
97458724620,200mins_Upsell,Upsell,35.0,Mass,LOW,Maturity,Postpaid,EN,111,0.145,227,10,4.0,39.7,3,208,0,2,Stable,Instagram,0.3,94.6,Up,0,0.0,0,Manual_Card,Pixel 8,Smartphone,Flagship,5G,4,0,53,104.6,0.025,35,0.8,0.16,0,0,SMS,9,1,None,None,1,Negative,5,customer threatened to switch to a competitor,Home_Free_OoredooTV,High data usage trend,0
97458448679,Data_AddOn_5GB,NBO,50.0,HVC,HIGH,AtRisk,Postpaid,AR,73,0.984,87,50,55.3,110.6,0,175,0,0,Rising,Snapchat,0.3,114.5,Flat,1,56.8,0,Manual_Card,iPhone 15,Smartphone,Flagship,5G,21,1,51,93.1,0.054,29,0.49,0.06,1,1,Call,7,1,None,Rejected,0,Neutral,8,customer asked about international calling rates,Loyalty_Points_2x,Renewal window,0
97453490836,Loyalty_Points_2x,Retention,0.0,Mass,MED,Maturity,Prepaid,AR,99,0.251,47,100,49.9,49.9,1,147,0,5,Falling,Snapchat,0.67,96.2,Up,0,0.0,0,Manual_Card,Pixel 8,Smartphone,Flagship,5G,15,0,50,197.6,0.126,26,0.77,0.12,0,1,Email,9,1,Gold,Ignored,0,Neutral,8,customer asked about international calling rates,1GB_plus_100mins,Device upgrade eligible,0
97456684978,1GB_plus_100mins,NBO,40.0,Mass,LOW,Growth,Hybrid,EN,110,0.283,58,100,30.5,30.5,3,293,0,4,Falling,WhatsApp,0.38,138.8,Flat,1,0.2,0,Autopay_Card,Huawei P60,Smartphone,Flagship,5G,6,0,57,176.9,0.026,35,0.73,0.08,0,0,SMS,9,0,Silver,Rejected,0,Neutral,3,customer wanted to join the loyalty program,Retention_Save_25pct,Device upgrade eligible,1
97452487061,5G_Unlimited_Upgrade,Upsell,200.0,Mass,MED,Maturity,Postpaid,AR,62,0.191,226,50,14.8,29.7,0,77,24,0,Falling,YouTube,0.29,96.0,Down,1,13.8,0,Cash,Other,Smartphone,Budget,4G,35,1,23,43.8,0.095,49,0.61,0.07,0,0,SMS,5,1,Platinum,Accepted,0,Neutral,1,customer wanted to join the loyalty program,Data_AddOn_5GB,Renewal window,0
97457822788,Retention_Save_25pct,Retention,90.0,Mass,MED,Onboarding,Postpaid,AR,22,0.116,218,50,27.2,54.4,2,207,0,6,Falling,WhatsApp,0.73,127.8,Up,0,0.0,0,Cash,Pixel 8,Feature Phone,Flagship,4G,41,1,13,61.1,0.087,53,0.86,0.1,0,0,Push,8,1,None,None,0,Positive,8,no recent call-center contact,5G_Unlimited_Upgrade,Renewal window,0
97457304705,Data_AddOn_5GB,NBO,50.0,Mass,LOW,Maturity,Postpaid,EN,54,0.175,123,20,18.2,91.0,2,194,0,0,Stable,WhatsApp,0.81,121.3,Up,1,67.2,0,Manual_Card,Pixel 8,Router/MiFi,Flagship,5G,22,1,59,120.9,0.012,28,0.73,0.06,0,0,Push,7,1,Gold,Ignored,1,Negative,3,customer threatened to switch to a competitor,Loyalty_Points_2x,Loyalty reward due,1
97454190733,Home_Free_OoredooTV,CrossSell,150.0,Mass,MED,Maturity,Prepaid,EN,82,0.336,269,5,2.9,58.3,3,231,1,0,Stable,Snapchat,0.14,83.1,Up,1,33.5,0,Cash,iPhone 15,IoT,Flagship,4G,32,1,3,39.5,0.055,58,0.66,0.31,0,0,Push,4,1,None,Rejected,1,Negative,2,customer unhappy after roaming charges abroad,10GB_Aggressive_HVC,Renewal window,0
97451611279,1GB_plus_100mins,NBO,40.0,Mass,MED,Renewal,Postpaid,AR,4,0.471,13,20,15.3,76.4,0,266,1,6,Falling,Instagram,0.48,93.9,Flat,1,70.8,0,Bank_Transfer,Pixel 8,Smartphone,Flagship,5G,39,1,42,134.5,0.096,41,0.61,0.33,1,1,Push,5,1,None,Ignored,1,Neutral,1,customer reported dropped calls in their area,Home_Free_OoredooTV,High data usage trend,1
97459736281,Data_AddOn_5GB,NBO,50.0,Business,MED,Renewal,Postpaid,EN,113,0.169,21,50,13.0,26.0,2,820,9,0,Falling,Gaming,0.3,126.9,Up,1,7.3,0,Autopay_Card,Other,Smartphone,Budget,4G,14,0,42,25.3,0.075,75,0.59,0.28,1,1,SMS,9,1,Silver,None,0,Neutral,4,customer asked about international calling rates,Roaming_Daily_Pass,Device upgrade eligible,0
97455011186,Home_Free_OoredooTV,CrossSell,150.0,Mass,HIGH,Growth,Prepaid,EN,42,0.322,225,20,10.9,54.3,1,246,6,0,Stable,TikTok,0.58,58.0,Down,0,0.0,0,Bank_Transfer,Other,Smartphone,Budget,4G,4,0,6,50.1,0.037,74,0.72,0.32,0,0,Push,9,1,Silver,Ignored,0,Positive,10,no recent call-center contact,Roaming_Daily_Pass,Loyalty reward due,0
97459038089,Retention_Save_25pct,Retention,90.0,Mass,HIGH,Onboarding,Postpaid,AR,79,0.12,64,100,86.4,86.4,1,424,0,0,Stable,TikTok,0.43,112.1,Up,0,0.0,0,Cash,Galaxy A54,Smartphone,Mid,5G,30,1,27,162.0,0.023,32,0.59,0.2,0,0,Call,8,1,Platinum,None,1,Neutral,4,customer reported dropped calls in their area,Roaming_Daily_Pass,Churn risk detected,0
97457101270,Data_AddOn_5GB,NBO,50.0,Mass,HIGH,Growth,Postpaid,EN,117,0.478,328,20,2.4,12.0,0,309,0,0,Stable,Gaming,0.58,102.0,Flat,0,0.0,0,Autopay_Card,Huawei P60,Router/MiFi,Flagship,5G,12,0,18,133.7,0.055,35,0.64,0.14,1,1,Call,6,1,Gold,Accepted,0,Positive,0,customer wanted to join the loyalty program,5G_Unlimited_Upgrade,Churn risk detected,1
97458005450,5G_Unlimited_Upgrade,Upsell,200.0,Mass,LOW,Maturity,Postpaid,AR,103,0.038,317,5,3.5,69.0,1,25,0,0,Falling,Netflix,0.78,54.3,Down,0,0.0,0,Manual_Card,iPhone 14,Router/MiFi,Mid,5G,8,0,31,100.7,0.021,38,0.74,0.25,0,0,WhatsApp,6,1,Platinum,Ignored,0,Neutral,1,customer asked about international calling rates,10GB_Aggressive_HVC,Loyalty reward due,1
97457839094,Loyalty_Points_2x,Retention,0.0,Mass,MED,Growth,Postpaid,AR,89,0.471,274,100,31.8,31.8,3,303,0,0,Stable,Gaming,0.41,46.6,Down,1,18.3,0,Autopay_Card,iPhone 14,Smartphone,Mid,5G,36,1,23,151.0,0.038,51,0.73,0.16,0,0,SMS,7,1,None,Accepted,0,Neutral,7,customer wanted to join the loyalty program,10GB_Aggressive_HVC,Renewal window,0
97452751748,10GB_Aggressive_HVC,Retention,120.0,Mass,MED,Maturity,Postpaid,EN,36,0.286,242,20,23.3,116.5,3,685,21,0,Rising,Snapchat,0.5,53.5,Up,0,0.0,0,Autopay_Card,Galaxy S23,Tablet,Flagship,5G,29,1,28,181.7,0.025,37,0.81,0.14,1,1,SMS,15,0,Silver,None,0,Neutral,5,no recent call-center contact,Roaming_Daily_Pass,Device upgrade eligible,0
97454275153,1GB_plus_100mins,NBO,40.0,Business,MED,Maturity,Postpaid,AR,63,0.482,60,5,2.9,57.3,3,451,0,0,Stable,Netflix,0.31,83.7,Flat,1,112.3,0,Autopay_Card,Other,Smartphone,Budget,4G,41,1,45,65.5,0.104,40,0.81,0.13,0,0,Push,11,1,Gold,Ignored,1,Negative,5,customer complained about slow data speeds at home,Loyalty_Points_2x,Device upgrade eligible,0
97455200488,Data_AddOn_5GB,NBO,50.0,Mass,MED,AtRisk,Postpaid,EN,60,0.728,353,50,52.6,105.2,2,153,32,7,Stable,Netflix,0.09,83.9,Flat,1,70.7,0,Cash,Galaxy S23,Smartphone,Flagship,5G,6,0,24,85.8,0.02,40,0.68,0.16,0,0,Email,10,0,Silver,Ignored,0,Negative,8,customer threatened to switch to a competitor,5G_Unlimited_Upgrade,Device upgrade eligible,0
97455480123,1GB_plus_100mins,NBO,40.0,Mass,LOW,Maturity,Postpaid,EN,103,0.433,64,10,7.9,78.5,3,82,0,0,Stable,TikTok,0.24,89.0,Up,1,7.9,0,Autopay_Card,Huawei P60,Smartphone,Flagship,5G,14,0,43,123.4,0.114,20,0.75,0.08,0,0,SMS,7,1,Platinum,Ignored,0,Neutral,10,no recent call-center contact,Device_Upgrade_iPhone,Churn risk detected,0
97451394233,10GB_Aggressive_HVC,Retention,120.0,HVC,MED,Onboarding,Prepaid,AR,5,0.38,294,50,45.9,91.7,2,223,0,0,Falling,Netflix,0.23,102.4,Down,3,60.6,1,Manual_Card,iPhone 15,IoT,Flagship,4G,7,0,49,39.3,0.043,64,0.5,0.2,0,0,Push,5,1,Silver,Ignored,0,Neutral,9,no recent call-center contact,5G_Unlimited_Upgrade,Device upgrade eligible,0
97455919124,10GB_Aggressive_HVC,Retention,120.0,Mass,MED,Growth,Prepaid,AR,3,0.239,171,50,34.3,68.7,0,171,2,0,Rising,Netflix,0.49,54.7,Down,1,23.3,0,Autopay_Card,iPhone 15,Smartphone,Flagship,5G,13,0,58,181.9,0.011,38,0.55,0.12,0,0,Push,4,1,Silver,None,0,Positive,6,customer asked how to add more data,Device_Upgrade_iPhone,Churn risk detected,0
97452388605,Roaming_Daily_Pass,CrossSell,60.0,Mass,LOW,Maturity,Postpaid,EN,15,0.504,244,100,56.5,56.5,2,403,0,0,Rising,YouTube,0.66,110.3,Down,1,8.3,0,Autopay_Card,Huawei P60,Router/MiFi,Flagship,5G,46,1,47,165.7,0.028,44,0.64,0.13,0,0,Email,7,1,Silver,Accepted,0,Positive,2,customer asked how to add more data,Loyalty_Points_2x,Renewal window,0
97457690382,5G_Unlimited_Upgrade,Upsell,200.0,HVC,LOW,Growth,Prepaid,AR,114,0.247,8,100,94.8,94.8,0,208,42,6,Rising,Instagram,0.41,134.2,Up,0,0.0,0,Cash,Pixel 8,Tablet,Flagship,5G,41,1,30,198.8,0.049,8,0.56,0.05,1,1,SMS,13,1,Silver,None,0,Neutral,1,customer asked how to add more data,1GB_plus_100mins,High data usage trend,1
97457147439,Device_Upgrade_iPhone,Upsell,280.0,Mass,LOW,Growth,Postpaid,AR,65,0.206,116,50,13.7,27.5,1,128,0,0,Rising,WhatsApp,0.45,94.7,Down,1,26.2,0,Bank_Transfer,iPhone 15,Smartphone,Flagship,5G,19,0,18,172.7,0.118,42,0.67,0.21,0,0,Push,8,1,Platinum,None,0,Positive,2,customer asked how to add more data,Retention_Save_25pct,Loyalty reward due,1
