MSISDN,Selected_Action,ActionType,Propensity,MonthlyValueQAR,Churn_Prob,Data_Usage_Pct,Overage_Months,Days_To_Renewal,LTV_Band,Usage_Trend,Upgrade_Eligible,Sentiment,Loyalty_Tier,Consent_Flag,Network_Issue_Flag,Device_Type,msisdn,guard_status,p_baseline,p_nbx
97459340883,1GB_plus_100mins,NBO,0.1397,40,0.498,59.6,0,150,LOW,Falling,0,Positive,None,1,0,Smartphone,97459340883,APPROVED,0.11874499999999999,0.13655675
97458034106,Roaming_Daily_Pass,CrossSell,0.1364,60,0.398,39.8,0,279,LOW,Stable,0,Neutral,Silver,0,0,Smartphone,97458034106,APPROVED,0.11593999999999999,0.11593999999999999
97456794785,Device_Upgrade_iPhone,Upsell,0.4598,280,0.405,86.6,3,9,MED,Rising,0,Positive,None,1,0,Smartphone,97456794785,APPROVED,0.39082999999999996,0.5588869000000001
97454621728,Device_Upgrade_iPhone,Upsell,0.329,280,0.411,101.3,1,253,MED,Stable,0,Positive,None,1,1,Router/MiFi,97454621728,APPROVED,0.27965,0.3439695000000001
97458404853,Device_Upgrade_iPhone,Upsell,0.2079,280,0.104,18.1,2,238,LOW,Rising,0,Positive,Gold,1,0,Smartphone,97458404853,APPROVED,0.17671499999999998,0.24209955000000002
97455908861,Device_Upgrade_iPhone,Upsell,0.2022,280,0.482,12.9,0,208,LOW,Stable,1,Positive,Gold,1,0,Router/MiFi,97455908861,APPROVED,0.17187,0.21827490000000002
97454990727,Device_Upgrade_iPhone,Upsell,0.314,280,0.594,24.9,3,42,MED,Rising,1,Neutral,Silver,1,0,Smartphone,97454990727,APPROVED,0.26689999999999997,0.40301900000000007
97455054135,Device_Upgrade_iPhone,Upsell,0.287,280,0.345,59.3,0,118,HIGH,Rising,1,Neutral,Silver,1,0,Smartphone,97455054135,APPROVED,0.24394999999999997,0.3146955
97453045148,Device_Upgrade_iPhone,Upsell,0.3181,280,0.032,99.2,3,23,MED,Rising,0,Positive,None,1,1,Router/MiFi,97453045148,APPROVED,0.270385,0.37583515000000006
97451829223,Device_Upgrade_iPhone,Upsell,0.3913,280,0.275,92.8,0,8,LOW,Stable,1,Neutral,Gold,1,1,Feature Phone,97451829223,REVIEW_CREDIT,0.332605,0.4656470000000001
97455991262,Device_Upgrade_iPhone,Upsell,0.2237,280,0.447,47.6,0,341,LOW,Rising,1,Neutral,None,1,0,Smartphone,97455991262,APPROVED,0.190145,0.24528705000000006
97458991007,Loyalty_Points_2x,Retention,0.1606,0,0.055,63.3,0,20,LOW,Falling,0,Neutral,None,1,0,Smartphone,97458991007,APPROVED,0.13651,0.17063750000000003
97451574355,1GB_plus_100mins,NBO,0.1473,40,0.343,15.6,0,104,MED,Falling,0,Neutral,Silver,1,1,Smartphone,97451574355,APPROVED,0.12520499999999998,0.14398575
97458724620,Device_Upgrade_iPhone,Upsell,0.1856,280,0.304,30.8,2,10,MED,Stable,1,Neutral,None,0,0,Smartphone,97458724620,APPROVED,0.15775999999999998,0.15775999999999998
97458448679,Loyalty_Points_2x,Retention,0.1687,0,0.065,39.7,3,13,MED,Stable,0,Neutral,Silver,1,0,Smartphone,97458448679,APPROVED,0.143395,0.19645115000000005
97453490836,Device_Upgrade_iPhone,Upsell,0.2235,280,0.262,76.7,3,114,MED,Falling,1,Positive,Silver,1,0,Smartphone,97453490836,APPROVED,0.189975,0.25646625000000006
97456684978,Loyalty_Points_2x,Retention,0.1724,0,0.561,16.4,3,294,MED,Stable,0,Neutral,Silver,1,0,Smartphone,97456684978,APPROVED,0.14654,0.18610580000000004
97452487061,Device_Upgrade_iPhone,Upsell,0.2718,280,0.299,16.4,0,8,MED,Stable,1,Neutral,None,1,0,Tablet,97452487061,APPROVED,0.23102999999999999,0.30726990000000004
97457822788,Device_Upgrade_iPhone,Upsell,0.1419,280,0.511,37.9,2,308,MED,Falling,1,Positive,None,0,0,Smartphone,97457822788,APPROVED,0.120615,0.120615
97457304705,Device_Upgrade_iPhone,Upsell,0.2686,280,0.524,56.3,1,350,HIGH,Stable,1,Neutral,None,1,0,Smartphone,97457304705,APPROVED,0.22830999999999999,0.30821850000000006
97454190733,Device_Upgrade_iPhone,Upsell,0.2572,280,0.374,27.1,1,36,MED,Falling,1,Positive,Silver,1,0,Smartphone,97454190733,APPROVED,0.21861999999999998,0.3169990000000001
97451611279,Device_Upgrade_iPhone,Upsell,0.2316,280,0.136,67.2,0,295,LOW,Stable,1,Neutral,None,1,1,Smartphone,97451611279,APPROVED,0.19686,0.23426340000000004
97459736281,200mins_Upsell,Upsell,0.1801,35,0.213,81.3,1,64,MED,Stable,0,Neutral,None,1,0,Tablet,97459736281,APPROVED,0.153085,0.19441795000000003
97455011186,200mins_Upsell,Upsell,0.3049,35,0.177,81.7,1,31,LOW,Stable,0,Positive,None,1,0,Smartphone,97455011186,APPROVED,0.259165,0.35505605000000007
97459038089,Device_Upgrade_iPhone,Upsell,0.2183,280,0.249,36.5,3,352,LOW,Rising,0,Neutral,Gold,1,0,Smartphone,97459038089,APPROVED,0.185555,0.2542103500000001
97457101270,Device_Upgrade_iPhone,Upsell,0.3208,280,0.088,93.4,3,55,MED,Falling,1,Neutral,Gold,1,1,Smartphone,97457101270,APPROVED,0.27268,0.39538600000000007
97458005450,Device_Upgrade_iPhone,Upsell,0.203,280,0.178,32.9,1,108,HIGH,Stable,1,Neutral,None,1,0,Smartphone,97458005450,APPROVED,0.17255,0.23294250000000005
97457839094,Loyalty_Points_2x,Retention,0.1476,0,0.515,64.1,1,93,LOW,Falling,0,Positive,Gold,0,0,Smartphone,97457839094,APPROVED,0.12546000000000002,0.12546000000000002
97452751748,Retention_Save_25pct,Retention,0.2851,90,0.69,17.6,0,246,MED,Rising,0,Neutral,Silver,1,0,Feature Phone,97452751748,APPROVED,0.24233500000000002,0.30291875000000007
97454275153,Device_Upgrade_iPhone,Upsell,0.1682,280,0.159,62.0,3,5,LOW,Rising,0,Neutral,None,0,0,Feature Phone,97454275153,APPROVED,0.14296999999999999,0.14296999999999999
97455200488,Device_Upgrade_iPhone,Upsell,0.2159,280,0.186,39.6,3,23,MED,Falling,1,Neutral,Silver,1,0,Smartphone,97455200488,APPROVED,0.183515,0.2660967500000001
97455480123,Retention_Save_25pct,Retention,0.301,90,0.9,8.3,2,191,HIGH,Rising,1,Neutral,None,1,0,Smartphone,97455480123,APPROVED,0.25584999999999997,0.35051450000000006
97451394233,Loyalty_Points_2x,Retention,0.1476,0,0.075,54.7,2,76,LOW,Falling,0,Neutral,Silver,1,0,Router/MiFi,97451394233,APPROVED,0.12546000000000002,0.15933420000000004
97455919124,Device_Upgrade_iPhone,Upsell,0.2569,280,0.238,92.3,0,60,MED,Stable,0,Neutral,Platinum,0,0,Router/MiFi,97455919124,APPROVED,0.218365,0.218365
97452388605,Device_Upgrade_iPhone,Upsell,0.2711,280,0.194,80.3,2,70,LOW,Rising,0,Positive,None,1,0,Smartphone,97452388605,APPROVED,0.230435,0.30647855000000007
97457690382,1GB_plus_100mins,NBO,0.1519,40,0.184,40.3,1,137,HIGH,Falling,0,Neutral,None,0,0,Router/MiFi,97457690382,APPROVED,0.129115,0.129115
97457147439,Device_Upgrade_iPhone,Upsell,0.3693,280,0.542,89.5,0,189,LOW,Stable,1,Neutral,Silver,1,0,Smartphone,97457147439,APPROVED,0.313905,0.42377175000000006
97459302749,Device_Upgrade_iPhone,Upsell,0.3383,280,0.219,112.6,1,350,LOW,Stable,1,Neutral,Platinum,0,0,Smartphone,97459302749,APPROVED,0.287555,0.287555
97457702858,Device_Upgrade_iPhone,Upsell,0.2419,280,0.174,59.4,3,246,LOW,Stable,1,Neutral,Gold,1,0,Smartphone,97457702858,APPROVED,0.205615,0.28580485000000005
97454299783,Device_Upgrade_iPhone,Upsell,0.2146,280,0.447,37.4,3,300,MED,Stable,1,Neutral,None,1,1,Feature Phone,97454299783,APPROVED,0.18241000000000002,0.23895710000000006
97459707586,Device_Upgrade_iPhone,Upsell,0.5156,280,0.265,91.7,0,16,HIGH,Rising,1,Neutral,Gold,1,0,Smartphone,97459707586,APPROVED,0.4382599999999999,0.6793029999999999
97454697652,Loyalty_Points_2x,Retention,0.1624,0,0.218,28.0,1,76,MED,Stable,0,Positive,Gold,1,0,Smartphone,97454697652,APPROVED,0.13804,0.18083240000000003
97453932427,Device_Upgrade_iPhone,Upsell,0.3975,280,0.664,99.2,2,194,HIGH,Stable,1,Neutral,Silver,1,1,Smartphone,97453932427,APPROVED,0.337875,0.44261625000000004
97459149820,Device_Upgrade_iPhone,Upsell,0.2447,280,0.286,70.9,0,195,MED,Stable,1,Neutral,Gold,1,0,Smartphone,97459149820,APPROVED,0.20799499999999999,0.26415365
97454334136,1GB_plus_100mins,NBO,0.156,40,0.288,50.8,2,260,MED,Stable,0,Neutral,Gold,1,0,Smartphone,97454334136,APPROVED,0.1326,0.17370600000000003
97451687088,Device_Upgrade_iPhone,Upsell,0.1797,280,0.364,33.4,0,244,HIGH,Stable,1,Positive,Silver,0,1,Smartphone,97451687088,APPROVED,0.152745,0.152745
97455226001,Loyalty_Points_2x,Retention,0.1175,0,0.481,25.3,0,74,LOW,Stable,0,Positive,Silver,0,0,Smartphone,97455226001,APPROVED,0.09987499999999999,0.09987499999999999
97458161118,Device_Upgrade_iPhone,Upsell,0.3858,280,0.603,101.0,2,189,LOW,Stable,1,Neutral,Silver,1,0,Feature Phone,97458161118,APPROVED,0.32792999999999994,0.44270550000000003
97452705242,1GB_plus_100mins,NBO,0.1395,40,0.453,36.0,3,217,MED,Falling,0,Positive,None,1,0,Smartphone,97452705242,APPROVED,0.11857500000000001,0.15059025000000004
97455166464,Device_Upgrade_iPhone,Upsell,0.2261,280,0.048,74.8,1,266,MED,Stable,1,Positive,Gold,1,0,Smartphone,97455166464,APPROVED,0.192185,0.26713715000000005
97452169293,Device_Upgrade_iPhone,Upsell,0.2286,280,0.457,40.1,2,261,LOW,Falling,1,Neutral,None,1,0,Smartphone,97452169293,APPROVED,0.19430999999999998,0.2623185
97457178303,10GB_Aggressive_HVC,Retention,0.2353,120,0.166,45.9,0,52,LOW,Stable,0,Neutral,Silver,1,0,Smartphone,97457178303,APPROVED,0.20000500000000002,0.25000625000000004
97455281343,Retention_Save_25pct,Retention,0.2961,90,0.851,41.6,1,122,LOW,Rising,0,Neutral,None,0,0,IoT,97455281343,SOFTENED,0.251685,0.251685
97453971766,1GB_plus_100mins,NBO,0.1803,40,0.172,68.8,2,178,MED,Falling,0,Neutral,None,1,1,Smartphone,97453971766,APPROVED,0.15325499999999997,0.19463385
97453042183,Device_Upgrade_iPhone,Upsell,0.2018,280,0.45,43.7,1,304,MED,Rising,1,Neutral,Gold,0,0,Smartphone,97453042183,APPROVED,0.17153,0.17153
97456080498,Device_Upgrade_iPhone,Upsell,0.3076,280,0.125,40.6,3,261,HIGH,Rising,1,Neutral,Silver,1,0,Feature Phone,97456080498,APPROVED,0.26145999999999997,0.36865860000000006
97457028325,Loyalty_Points_2x,Retention,0.1855,0,0.061,70.9,0,88,MED,Rising,0,Positive,None,1,0,Smartphone,97457028325,APPROVED,0.15767499999999998,0.18132625
97459462753,Device_Upgrade_iPhone,Upsell,0.2088,280,0.259,62.4,0,182,MED,Rising,0,Positive,None,1,0,Smartphone,97459462753,APPROVED,0.17748,0.21475080000000002
97454934366,Device_Upgrade_iPhone,Upsell,0.4659,280,0.271,91.8,3,186,LOW,Rising,1,Neutral,Silver,1,0,Smartphone,97454934366,APPROVED,0.39601499999999995,0.5583811500000001
97452446193,Device_Upgrade_iPhone,Upsell,0.4218,280,0.511,93.3,3,353,MED,Stable,0,Neutral,Silver,1,0,Router/MiFi,97452446193,REVIEW_CREDIT,0.35853,0.4374066000000001
97458494102,1GB_plus_100mins,NBO,0.15,40,0.484,36.2,3,341,MED,Stable,0,Neutral,None,1,0,Smartphone,97458494102,APPROVED,0.1275,0.16192500000000004
97456667878,Loyalty_Points_2x,Retention,0.1695,0,0.332,60.9,1,21,MED,Falling,0,Neutral,Silver,1,0,Smartphone,97456667878,APPROVED,0.144075,0.19738275000000005
97457302385,Loyalty_Points_2x,Retention,0.1727,0,0.171,49.2,1,16,MED,Stable,0,Neutral,Silver,1,0,Smartphone,97457302385,APPROVED,0.14679499999999998,0.20110915000000001
97451875039,Device_Upgrade_iPhone,Upsell,0.3576,280,0.326,93.7,0,1,MED,Stable,1,Neutral,None,0,0,Smartphone,97451875039,APPROVED,0.30395999999999995,0.30395999999999995
97453811299,Device_Upgrade_iPhone,Upsell,0.4766,280,0.083,93.1,2,311,HIGH,Rising,0,Positive,Gold,1,0,Smartphone,97453811299,APPROVED,0.40511,0.5550007000000001
97457910594,Device_Upgrade_iPhone,Upsell,0.4044,280,0.362,104.6,0,203,LOW,Rising,0,Neutral,Silver,1,0,Smartphone,97457910594,APPROVED,0.34374,0.4571742000000001
97458490337,Device_Upgrade_iPhone,Upsell,0.2625,280,0.577,71.2,3,268,HIGH,Stable,1,Neutral,Silver,1,0,Smartphone,97458490337,APPROVED,0.223125,0.30121875000000004
97454916949,Device_Upgrade_iPhone,Upsell,0.2884,280,0.185,92.5,1,160,MED,Stable,1,Positive,None,0,0,Smartphone,97454916949,REVIEW_CREDIT,0.24514,0.24514
97458242878,Device_Upgrade_iPhone,Upsell,0.2718,280,0.228,39.9,3,322,LOW,Rising,1,Positive,Silver,1,0,Smartphone,97458242878,APPROVED,0.23102999999999999,0.32575230000000005
97458575225,Device_Upgrade_iPhone,Upsell,0.1858,280,0.28,54.5,1,293,LOW,Stable,1,Positive,None,0,0,Feature Phone,97458575225,APPROVED,0.15793,0.15793
97454487305,Device_Upgrade_iPhone,Upsell,0.106,280,0.12,42.5,0,110,MED,Stable,0,Positive,None,0,0,IoT,97454487305,APPROVED,0.0901,0.0901
97459082787,Device_Upgrade_iPhone,Upsell,0.387,280,0.282,106.4,2,260,HIGH,Falling,1,Neutral,None,1,0,Smartphone,97459082787,APPROVED,0.32895,0.4440825000000001
97453594952,Retention_Save_25pct,Retention,0.2761,90,0.62,23.1,2,339,MED,Rising,0,Neutral,Platinum,1,0,Smartphone,97453594952,APPROVED,0.234685,0.3309058500000001
97453156019,Retention_Save_25pct,Retention,0.2988,90,0.624,28.1,0,241,MED,Stable,1,Positive,None,1,0,Smartphone,97453156019,APPROVED,0.25398,0.31747500000000006
97457142458,10GB_Aggressive_HVC,Retention,0.2834,120,0.074,39.0,3,25,HIGH,Falling,0,Neutral,Silver,1,0,Feature Phone,97457142458,APPROVED,0.24089,0.33001930000000007
97456730855,Device_Upgrade_iPhone,Upsell,0.3301,280,0.266,97.9,1,79,LOW,Falling,0,Positive,None,1,0,Smartphone,97456730855,APPROVED,0.280585,0.35634295000000005
97452257772,Device_Upgrade_iPhone,Upsell,0.2673,280,0.065,57.7,0,30,MED,Falling,1,Neutral,None,1,1,Smartphone,97452257772,APPROVED,0.227205,0.29309445000000006
97458494629,Device_Upgrade_iPhone,Upsell,0.376,280,0.428,89.9,2,79,MED,Stable,1,Neutral,Silver,1,0,Router/MiFi,97458494629,APPROVED,0.3196,0.43146000000000007
97452799173,Device_Upgrade_iPhone,Upsell,0.2743,280,0.443,23.5,2,66,HIGH,Rising,1,Positive,None,1,0,IoT,97452799173,APPROVED,0.23315499999999997,0.32874855000000003
97458244091,Device_Upgrade_iPhone,Upsell,0.5464,280,0.399,82.8,2,23,MED,Rising,1,Positive,Silver,1,0,Smartphone,97458244091,APPROVED,0.46443999999999996,0.7013044000000002
97451066260,Loyalty_Points_2x,Retention,0.162,0,0.31,40.0,0,49,MED,Stable,0,Neutral,Platinum,1,0,Router/MiFi,97451066260,APPROVED,0.1377,0.177633
97458171582,Device_Upgrade_iPhone,Upsell,0.5254,280,0.441,97.3,3,39,HIGH,Rising,0,Positive,Silver,1,0,Smartphone,97458171582,APPROVED,0.44659,0.6386237000000001
97458082318,10GB_Aggressive_HVC,Retention,0.2366,120,0.134,23.0,3,49,LOW,Stable,0,Positive,Silver,1,0,Smartphone,97458082318,APPROVED,0.20111,0.27552070000000006
97458023278,Device_Upgrade_iPhone,Upsell,0.282,280,0.471,119.0,2,115,MED,Falling,1,Neutral,Gold,1,0,Smartphone,97458023278,APPROVED,0.23969999999999997,0.33318300000000006
97456983657,10GB_Aggressive_HVC,Retention,0.3583,120,0.738,57.9,3,154,HIGH,Stable,0,Neutral,None,1,0,Router/MiFi,97456983657,APPROVED,0.304555,0.41724035000000015
97455244103,Roaming_Daily_Pass,CrossSell,0.1604,60,0.487,22.4,1,64,HIGH,Falling,0,Positive,Platinum,0,1,Smartphone,97455244103,APPROVED,0.13634,0.13634
97457346487,10GB_Aggressive_HVC,Retention,0.2421,120,0.135,53.0,3,37,MED,Stable,0,Neutral,Silver,1,0,Smartphone,97457346487,APPROVED,0.205785,0.2819254500000001
97453494094,1GB_plus_100mins,NBO,0.1425,40,0.25,48.4,1,308,MED,Falling,0,Positive,None,1,0,Router/MiFi,97453494094,APPROVED,0.12112499999999998,0.15382875000000001
97458026560,Device_Upgrade_iPhone,Upsell,0.4655,280,0.214,92.4,1,255,LOW,Rising,1,Positive,None,1,0,Smartphone,97458026560,APPROVED,0.395675,0.5579017500000002
97456000822,Device_Upgrade_iPhone,Upsell,0.2277,280,0.541,62.4,2,120,LOW,Falling,1,Positive,Silver,1,0,Smartphone,97456000822,APPROVED,0.193545,0.26128575000000004
97455130241,Device_Upgrade_iPhone,Upsell,0.3118,280,0.405,28.9,0,163,MED,Rising,1,Neutral,Silver,1,0,Smartphone,97455130241,APPROVED,0.26503,0.34188870000000005
97455550455,Device_Upgrade_iPhone,Upsell,0.3342,280,0.476,79.9,1,341,MED,Rising,1,Neutral,Silver,1,0,Smartphone,97455550455,APPROVED,0.28407,0.4005387000000001
97456118670,Device_Upgrade_iPhone,Upsell,0.1614,280,0.078,53.3,3,186,MED,Stable,1,Negative,Silver,1,0,Smartphone,97456118670,APPROVED,0.13718999999999998,0.19343790000000002
97451335360,Loyalty_Points_2x,Retention,0.1109,0,0.335,35.2,3,39,LOW,Stable,0,Neutral,None,0,0,Smartphone,97451335360,APPROVED,0.094265,0.094265
97452258172,10GB_Aggressive_HVC,Retention,0.2611,120,0.592,49.4,1,25,HIGH,Stable,0,Neutral,Silver,1,1,Smartphone,97452258172,APPROVED,0.221935,0.3195864000000001
97453209330,5G_Unlimited_Upgrade,Upsell,0.1613,200,0.244,78.3,1,257,LOW,Falling,0,Positive,Silver,1,0,Smartphone,97453209330,REVIEW_CREDIT,0.137105,0.16726810000000003
97452030770,Device_Upgrade_iPhone,Upsell,0.538,280,0.237,92.7,2,359,MED,Rising,1,Neutral,None,1,0,Smartphone,97452030770,APPROVED,0.45730000000000004,0.6447930000000002
97454956521,Device_Upgrade_iPhone,Upsell,0.2072,280,0.309,60.5,1,243,MED,Stable,1,Neutral,Gold,1,1,Feature Phone,97454956521,APPROVED,0.17612,0.23776200000000006
97457015625,Device_Upgrade_iPhone,Upsell,0.2194,280,0.051,70.1,2,291,LOW,Stable,1,Neutral,Platinum,1,0,Smartphone,97457015625,APPROVED,0.18649000000000002,0.2592211000000001
97456889859,Device_Upgrade_iPhone,Upsell,0.2214,280,0.168,51.1,3,97,LOW,Falling,1,Neutral,Silver,1,0,Smartphone,97456889859,APPROVED,0.18819,0.2540565000000001
97455239865,Device_Upgrade_iPhone,Upsell,0.1911,280,0.388,26.8,3,312,HIGH,Stable,1,Neutral,Silver,0,0,Router/MiFi,97455239865,APPROVED,0.162435,0.162435
97458695719,Device_Upgrade_iPhone,Upsell,0.3542,280,0.21,107.8,2,190,HIGH,Stable,1,Neutral,None,1,0,Router/MiFi,97458695719,APPROVED,0.30107,0.4064445000000001
97456087124,Device_Upgrade_iPhone,Upsell,0.3858,280,0.139,116.3,3,20,MED,Rising,1,Neutral,Platinum,1,0,Tablet,97456087124,APPROVED,0.32792999999999994,0.5082914999999999
97451712776,10GB_Aggressive_HVC,Retention,0.2857,120,0.682,55.8,0,124,LOW,Stable,1,Positive,Platinum,1,0,Router/MiFi,97451712776,SOFTENED,0.242845,0.30112780000000006
97457884988,Device_Upgrade_iPhone,Upsell,0.2076,280,0.334,45.3,0,136,HIGH,Rising,0,Neutral,None,1,0,Smartphone,97457884988,APPROVED,0.17646,0.21351660000000003
97456171405,Device_Upgrade_iPhone,Upsell,0.2667,280,0.422,32.1,1,26,LOW,Stable,1,Positive,None,1,0,Smartphone,97456171405,APPROVED,0.22669499999999998,0.3287077500000001
97456712464,Device_Upgrade_iPhone,Upsell,0.1876,280,0.476,43.2,0,286,MED,Rising,1,Neutral,None,0,1,Smartphone,97456712464,APPROVED,0.15946,0.15946
97456088359,Loyalty_Points_2x,Retention,0.177,0,0.198,72.0,0,84,MED,Stable,0,Positive,None,1,0,Smartphone,97456088359,APPROVED,0.15045,0.17301750000000002
97455982214,1GB_plus_100mins,NBO,0.1612,40,0.234,68.0,3,352,MED,Stable,0,Neutral,Silver,1,1,Smartphone,97455982214,APPROVED,0.13702,0.17401540000000004
97451815097,Device_Upgrade_iPhone,Upsell,0.1576,280,0.153,19.3,3,331,MED,Stable,1,Positive,Silver,0,0,IoT,97451815097,APPROVED,0.13396,0.13396
97456032863,Device_Upgrade_iPhone,Upsell,0.2066,280,0.365,14.8,1,273,MED,Stable,1,Positive,None,1,0,Smartphone,97456032863,APPROVED,0.17561,0.23707350000000005
97458154212,1GB_plus_100mins,NBO,0.0852,40,0.29,46.9,1,272,LOW,Falling,0,Negative,Silver,1,1,Router/MiFi,97458154212,APPROVED,0.07242,0.09631860000000002
97453735550,Device_Upgrade_iPhone,Upsell,0.3385,280,0.183,81.1,1,348,MED,Stable,1,Positive,Silver,1,0,Smartphone,97453735550,APPROVED,0.287725,0.3884287500000001
97456425543,Device_Upgrade_iPhone,Upsell,0.2242,280,0.577,31.2,1,193,LOW,Falling,1,Positive,Silver,1,0,Tablet,97456425543,APPROVED,0.19057000000000002,0.2572695000000001
97451277360,10GB_Aggressive_HVC,Retention,0.3558,120,0.704,49.4,0,113,HIGH,Stable,1,Positive,None,1,0,Smartphone,97451277360,APPROVED,0.30243,0.3780375
97454127492,Device_Upgrade_iPhone,Upsell,0.2137,280,0.131,25.9,2,1,MED,Falling,1,Neutral,None,0,0,Smartphone,97454127492,APPROVED,0.181645,0.181645
97454930456,Device_Upgrade_iPhone,Upsell,0.2331,280,0.304,47.4,3,337,MED,Rising,1,Neutral,None,1,0,IoT,97454930456,APPROVED,0.198135,0.2793703500000001
97459844644,Device_Upgrade_iPhone,Upsell,0.279,280,0.163,60.1,0,247,LOW,Rising,1,Neutral,Silver,0,0,Feature Phone,97459844644,APPROVED,0.23715000000000003,0.23715000000000003
97452931261,Device_Upgrade_iPhone,Upsell,0.4064,280,0.091,86.6,3,349,HIGH,Rising,0,Positive,None,1,0,Smartphone,97452931261,APPROVED,0.34543999999999997,0.45943520000000004
