msisdn,action,action_type,propensity,channel,rationale_WHY,message_HOW,guard_status,gen_source
97455521373,Data_AddOn_5GB,NBO,0.2448,SMS,Customer exceeded the data cap in 1 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97457019877,Data_AddOn_5GB,NBO,0.1465,SMS,Customer is an active Youth customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97454344769,Retention_Save_25pct,Retention,0.3406,SMS,"Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk, logged a recent complaint.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered. Reply YES. Ooredoo",APPROVED,offline
97451103355,Data_AddOn_5GB,NBO,0.2155,Push,Customer exceeded the data cap in 1 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97452262752,Data_AddOn_5GB,NBO,0.2079,Email,"Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (81% of cap).","Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (81% of cap).

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97456664789,Data_AddOn_5GB,NBO,0.2284,Push,"Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (80% of cap).",Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97456743066,Data_AddOn_5GB,NBO,0.1443,Call,Customer exceeded the data cap in 2 of the last 3 months.,AGENT: Customer exceeded the data cap in 2 of the last 3 months. Recommend: Data AddOn 5GB suits your usage.,APPROVED,offline
97457113790,5G_Unlimited_Upgrade,Upsell,0.1324,Email,Customer is 26 days from renewal.,"Dear Customer,

Customer is 26 days from renewal.

You're using 74% of your data - 5G Unlimited Upgrade gives you more headroom.

Ooredoo",APPROVED,offline
97455721339,Data_AddOn_5GB,NBO,0.2863,SMS,Customer exceeded the data cap in 1 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97454275709,Data_AddOn_5GB,NBO,0.0963,Email,"Customer exceeded the data cap in 3 of the last 3 months, is a heavy data user (88% of cap), is 18 days from renewal.","Dear Customer,

Customer exceeded the data cap in 3 of the last 3 months, is a heavy data user (88% of cap), is 18 days from renewal.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97451084654,Data_AddOn_5GB,NBO,0.1429,Push,Customer exceeded the data cap in 1 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97456147581,10GB_Aggressive_HVC,Retention,0.3114,Email,"Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (94% of cap), shows elevated churn risk.","Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (94% of cap), shows elevated churn risk.

Based on your recent usage, our 10GB Aggressive HVC keeps you covered.

Ooredoo",SOFTENED,offline
97452954354,Data_AddOn_5GB,NBO,0.2373,Push,Customer exceeded the data cap in 3 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97459242680,Data_AddOn_5GB,NBO,0.279,SMS,Customer is an active Mass customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97453428388,Data_AddOn_5GB,NBO,0.2207,SMS,"Customer exceeded the data cap in 2 of the last 3 months, is 19 days from renewal.",Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97459916786,Data_AddOn_5GB,NBO,0.1411,Call,Customer exceeded the data cap in 2 of the last 3 months.,AGENT: Customer exceeded the data cap in 2 of the last 3 months. Recommend: Data AddOn 5GB suits your usage.,APPROVED,offline
97453663046,10GB_Aggressive_HVC,Retention,0.398,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is 12 days from renewal, shows elevated churn risk.","Hi! Based on your recent usage, our 10GB Aggressive HVC keeps you covered and your renewal is in 12 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97456499720,10GB_Aggressive_HVC,Retention,0.3218,Email,"Customer exceeded the data cap in 2 of the last 3 months, is 30 days from renewal, shows elevated churn risk.","Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months, is 30 days from renewal, shows elevated churn risk.

Based on your recent usage, our 10GB Aggressive HVC keeps you covered and your renewal is in 30 days - switch with no penalty.

Ooredoo",SOFTENED,offline
97457640913,Data_AddOn_5GB,NBO,0.2846,SMS,"Customer exceeded the data cap in 2 of the last 3 months, is 38 days from renewal.",Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97454416664,Data_AddOn_5GB,NBO,0.1792,Email,Customer exceeded the data cap in 1 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 1 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97454385659,Data_AddOn_5GB,NBO,0.1865,Email,Customer is an active Mass customer.,"Dear Customer,

Customer is an active Mass customer.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97454385357,Data_AddOn_5GB,NBO,0.2361,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is 5 days from renewal.",Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97452465689,Data_AddOn_5GB,NBO,0.217,Push,"Customer exceeded the data cap in 3 of the last 3 months, is 21 days from renewal.",Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97451068148,Data_AddOn_5GB,NBO,0.2866,Push,Customer is an active Mass customer.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97452825665,Data_AddOn_5GB,NBO,0.2138,SMS,Customer is an active Mass customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97453745683,10GB_Aggressive_HVC,Retention,0.2932,Push,"Customer exceeded the data cap in 3 of the last 3 months, shows elevated churn risk.","Based on your recent usage, our 10GB Aggressive HVC keeps you covered - tap to activate.",APPROVED,offline
97455056518,10GB_Aggressive_HVC,Retention,0.286,SMS,"Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk.","Hi! Based on your recent usage, our 10GB Aggressive HVC keeps you covered. Reply YES. Ooredoo",APPROVED,offline
97453669995,Data_AddOn_5GB,NBO,0.1021,SMS,Customer exceeded the data cap in 1 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97455997895,200mins_Upsell,Upsell,0.0506,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (96% of cap).",Hi! You're using 96% of your data - 200mins Upsell gives you more headroom. Reply YES. Ooredoo,APPROVED,offline
97457397986,Retention_Save_25pct,Retention,0.3138,Push,"Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk.","Based on your recent usage, our Retention Save 25pct keeps you covered - tap to activate.",APPROVED,offline
97452870928,Data_AddOn_5GB,NBO,0.2644,Email,Customer exceeded the data cap in 3 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 3 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97455155299,Data_AddOn_5GB,NBO,0.1908,SMS,Customer is an active Mass customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97457249859,Data_AddOn_5GB,NBO,0.2685,SMS,Customer exceeded the data cap in 2 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97453305413,10GB_Aggressive_HVC,Retention,0.3229,SMS,"Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk, logged a recent complaint.","Hi! Based on your recent usage, our 10GB Aggressive HVC keeps you covered. Reply YES. Ooredoo",SOFTENED,offline
97454910197,5G_Unlimited_Upgrade,Upsell,0.1791,SMS,Customer is a heavy data user (84% of cap).,Hi! You're using 84% of your data - 5G Unlimited Upgrade gives you more headroom. Reply YES. Ooredoo,APPROVED,offline
97456558019,Retention_Save_25pct,Retention,0.206,Email,"Customer exceeded the data cap in 3 of the last 3 months, is 25 days from renewal.","Dear Customer,

Customer exceeded the data cap in 3 of the last 3 months, is 25 days from renewal.

Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 25 days - switch with no penalty.

Ooredoo",APPROVED,offline
97456414709,Retention_Save_25pct,Retention,0.2405,SMS,"Customer is 24 days from renewal, logged a recent complaint.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 24 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97451271836,Data_AddOn_5GB,NBO,0.2044,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (85% of cap), is 47 days from renewal.",Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97454584702,Data_AddOn_5GB,NBO,0.265,SMS,Customer is 20 days from renewal.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97458281369,Retention_Save_25pct,Retention,0.1729,Email,"Customer exceeded the data cap in 2 of the last 3 months, is 20 days from renewal, logged a recent complaint.","Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months, is 20 days from renewal, logged a recent complaint.

Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 20 days - switch with no penalty.

Ooredoo",APPROVED,offline
97453299435,Data_AddOn_5GB,NBO,0.2148,Call,Customer exceeded the data cap in 3 of the last 3 months.,AGENT: Customer exceeded the data cap in 3 of the last 3 months. Recommend: Data AddOn 5GB suits your usage.,APPROVED,offline
97459585377,200mins_Upsell,Upsell,0.2353,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (92% of cap), is 18 days from renewal.",Hi! You're using 92% of your data - 200mins Upsell gives you more headroom. Reply YES. Ooredoo,APPROVED,offline
97453658505,Data_AddOn_5GB,NBO,0.2233,Push,"Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (84% of cap), is 45 days from renewal.",Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97452271741,Retention_Save_25pct,Retention,0.1386,Call,Customer exceeded the data cap in 3 of the last 3 months.,"AGENT: Customer exceeded the data cap in 3 of the last 3 months. Recommend: Based on your recent usage, our Retention Save 25pct keeps you covered.",APPROVED,offline
97454769315,10GB_Aggressive_HVC,Retention,0.5911,Call,"Customer exceeded the data cap in 1 of the last 3 months, shows elevated churn risk.","AGENT: Customer exceeded the data cap in 1 of the last 3 months, shows elevated churn risk. Recommend: Based on your recent usage, our 10GB Aggressive HVC keeps you covered.",APPROVED,offline
97452046797,Roaming_Daily_Pass,CrossSell,0.1574,Push,Customer exceeded the data cap in 2 of the last 3 months.,Add Roaming Daily Pass to get more from your plan - tap to activate.,APPROVED,offline
97454047262,Retention_Save_25pct,Retention,0.216,SMS,"Customer is a heavy data user (87% of cap), is 52 days from renewal.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 52 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97451564685,Data_AddOn_5GB,NBO,0.1965,SMS,Customer is an active Mass customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97453879190,Data_AddOn_5GB,NBO,0.2373,SMS,"Customer exceeded the data cap in 3 of the last 3 months, is 11 days from renewal.",Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97456596411,Data_AddOn_5GB,NBO,0.1318,SMS,Customer exceeded the data cap in 3 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97452007293,Roaming_Daily_Pass,CrossSell,0.1887,Push,"Customer exceeded the data cap in 2 of the last 3 months, is 25 days from renewal, logged a recent complaint.",Add Roaming Daily Pass to get more from your plan - tap to activate.,APPROVED,offline
97455774183,Data_AddOn_5GB,NBO,0.2019,SMS,Customer exceeded the data cap in 3 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97454366612,5G_Unlimited_Upgrade,Upsell,0.1595,Push,Customer is a heavy data user (81% of cap).,You're using 81% of your data - 5G Unlimited Upgrade gives you more headroom - tap to activate.,APPROVED,offline
97459411855,5G_Unlimited_Upgrade,Upsell,0.145,Call,Customer exceeded the data cap in 2 of the last 3 months.,AGENT: Customer exceeded the data cap in 2 of the last 3 months. Recommend: You're using 71% of your data - 5G Unlimited Upgrade gives you more headroom.,APPROVED,offline
97456267180,Data_AddOn_5GB,NBO,0.2545,SMS,"Customer is a heavy data user (94% of cap), is 21 days from renewal, logged a recent complaint.",Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97458807313,Retention_Save_25pct,Retention,0.138,SMS,Customer exceeded the data cap in 2 of the last 3 months.,"Hi! Based on your recent usage, our Retention Save 25pct keeps you covered. Reply YES. Ooredoo",APPROVED,offline
97453704238,Data_AddOn_5GB,NBO,0.1272,Push,Customer exceeded the data cap in 1 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97453630708,Data_AddOn_5GB,NBO,0.2672,Push,"Customer exceeded the data cap in 2 of the last 3 months, is 14 days from renewal.",Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97454494679,200mins_Upsell,Upsell,0.1804,Call,"Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (89% of cap).","AGENT: Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (89% of cap). Recommend: You're using 89% of your data - 200mins Upsell gives you more headroom.",APPROVED,offline
97456517209,Data_AddOn_5GB,NBO,0.2669,SMS,Customer exceeded the data cap in 3 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97452767640,Data_AddOn_5GB,NBO,0.1302,Email,Customer exceeded the data cap in 1 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 1 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97457723771,Data_AddOn_5GB,NBO,0.1989,Push,Customer exceeded the data cap in 2 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97452285160,5G_Unlimited_Upgrade,Upsell,0.1362,SMS,Customer exceeded the data cap in 3 of the last 3 months.,Hi! You're using 72% of your data - 5G Unlimited Upgrade gives you more headroom. Reply YES. Ooredoo,APPROVED,offline
97457080526,Data_AddOn_5GB,NBO,0.2929,Push,Customer exceeded the data cap in 3 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97456173036,5G_Unlimited_Upgrade,Upsell,0.1468,Email,"Customer exceeded the data cap in 2 of the last 3 months, is 52 days from renewal.","Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months, is 52 days from renewal.

You're using 64% of your data - 5G Unlimited Upgrade gives you more headroom.

Ooredoo",APPROVED,offline
97452425472,Retention_Save_25pct,Retention,0.1876,SMS,"Customer exceeded the data cap in 3 of the last 3 months, is a heavy data user (86% of cap), is 47 days from renewal.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 47 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97451048984,200mins_Upsell,Upsell,0.1633,Push,Customer is a heavy data user (90% of cap).,You're using 90% of your data - 200mins Upsell gives you more headroom - tap to activate.,APPROVED,offline
97457556168,Retention_Save_25pct,Retention,0.2605,Call,"Customer exceeded the data cap in 3 of the last 3 months, is 59 days from renewal.","AGENT: Customer exceeded the data cap in 3 of the last 3 months, is 59 days from renewal. Recommend: Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 59 days - switch with no penalty.",APPROVED,offline
97452504384,Retention_Save_25pct,Retention,0.289,Push,"Customer exceeded the data cap in 1 of the last 3 months, is 10 days from renewal.","Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 10 days - switch with no p",APPROVED,offline
97453230919,200mins_Upsell,Upsell,0.3304,SMS,"Customer is a heavy data user (94% of cap), is 37 days from renewal.",Hi! You're using 94% of your data - 200mins Upsell gives you more headroom. Reply YES. Ooredoo,APPROVED,offline
97457940119,Data_AddOn_5GB,NBO,0.2223,Call,"Customer exceeded the data cap in 1 of the last 3 months, is 5 days from renewal.","AGENT: Customer exceeded the data cap in 1 of the last 3 months, is 5 days from renewal. Recommend: Data AddOn 5GB suits your usage.",APPROVED,offline
97452737095,10GB_Aggressive_HVC,Retention,0.3901,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (83% of cap), shows elevated churn risk.","Hi! Based on your recent usage, our 10GB Aggressive HVC keeps you covered. Reply YES. Ooredoo",SOFTENED,offline
97455780450,Data_AddOn_5GB,NBO,0.1557,Push,Customer exceeded the data cap in 2 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97458469344,Data_AddOn_5GB,NBO,0.2049,Email,Customer exceeded the data cap in 2 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97453109818,Retention_Save_25pct,Retention,0.2141,SMS,Customer is 43 days from renewal.,"Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 43 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97453231785,200mins_Upsell,Upsell,0.2227,SMS,Customer is a heavy data user (92% of cap).,Hi! You're using 92% of your data - 200mins Upsell gives you more headroom. Reply YES. Ooredoo,APPROVED,offline
97454853339,Data_AddOn_5GB,NBO,0.33,Call,"Customer exceeded the data cap in 2 of the last 3 months, logged a recent complaint.","AGENT: Customer exceeded the data cap in 2 of the last 3 months, logged a recent complaint. Recommend: Data AddOn 5GB suits your usage.",APPROVED,offline
97451996107,Data_AddOn_5GB,NBO,0.1657,Push,Customer exceeded the data cap in 2 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97458130144,Data_AddOn_5GB,NBO,0.1339,SMS,Customer is an active HVC customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97455545583,10GB_Aggressive_HVC,Retention,0.5899,SMS,Customer shows elevated churn risk.,"Hi! Based on your recent usage, our 10GB Aggressive HVC keeps you covered. Reply YES. Ooredoo",SOFTENED,offline
97454747389,5G_Unlimited_Upgrade,Upsell,0.1651,Push,"Customer exceeded the data cap in 3 of the last 3 months, is 33 days from renewal, logged a recent complaint.",You're using 77% of your data - 5G Unlimited Upgrade gives you more headroom - tap to activate.,APPROVED,offline
97455142807,Data_AddOn_5GB,NBO,0.2246,Call,Customer exceeded the data cap in 3 of the last 3 months.,AGENT: Customer exceeded the data cap in 3 of the last 3 months. Recommend: Data AddOn 5GB suits your usage.,APPROVED,offline
97458988004,Data_AddOn_5GB,NBO,0.2157,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is 47 days from renewal.",Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97457245035,Retention_Save_25pct,Retention,0.2362,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is 33 days from renewal.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 33 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97454602279,200mins_Upsell,Upsell,0.3115,Call,"Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (89% of cap).","AGENT: Customer exceeded the data cap in 1 of the last 3 months, is a heavy data user (89% of cap). Recommend: You're using 89% of your data - 200mins Upsell gives you more headroom.",APPROVED,offline
97456515989,Data_AddOn_5GB,NBO,0.2054,Call,Customer is an active Mass customer.,AGENT: Customer is an active Mass customer. Recommend: Data AddOn 5GB suits your usage.,APPROVED,offline
97453121690,10GB_Aggressive_HVC,Retention,0.3882,Call,Customer shows elevated churn risk.,"AGENT: Customer shows elevated churn risk. Recommend: Based on your recent usage, our 10GB Aggressive HVC keeps you covered.",SOFTENED,offline
97451491234,Data_AddOn_5GB,NBO,0.2155,Push,Customer exceeded the data cap in 2 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97456401218,Data_AddOn_5GB,NBO,0.1331,SMS,Customer exceeded the data cap in 2 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97457914550,Data_AddOn_5GB,NBO,0.2189,SMS,Customer exceeded the data cap in 3 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97457167294,Data_AddOn_5GB,NBO,0.2094,Call,Customer is an active Mass customer.,AGENT: Customer is an active Mass customer. Recommend: Data AddOn 5GB suits your usage.,APPROVED,offline
97457906726,Data_AddOn_5GB,NBO,0.267,SMS,Customer exceeded the data cap in 3 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97456888794,Data_AddOn_5GB,NBO,0.3443,Push,"Customer exceeded the data cap in 3 of the last 3 months, is a heavy data user (90% of cap).",Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97458558158,Data_AddOn_5GB,NBO,0.1277,Email,Customer exceeded the data cap in 3 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 3 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97457510425,Data_AddOn_5GB,NBO,0.1749,Email,Customer exceeded the data cap in 3 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 3 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97459511017,Retention_Save_25pct,Retention,0.371,Call,"Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk, logged a recent complaint.","AGENT: Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk, logged a recent complaint. Recommend: Based on your recent usage, our Retention Save 25pct keeps you covered.",APPROVED,offline
97458887739,Retention_Save_25pct,Retention,0.1996,Push,Customer is 41 days from renewal.,"Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 41 days - switch with no p",APPROVED,offline
97451769598,Retention_Save_25pct,Retention,0.2285,SMS,"Customer exceeded the data cap in 3 of the last 3 months, is 25 days from renewal, logged a recent complaint.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 25 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97456292895,Data_AddOn_5GB,NBO,0.1344,SMS,Customer exceeded the data cap in 1 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97458971379,Data_AddOn_5GB,NBO,0.1315,Push,Customer exceeded the data cap in 2 of the last 3 months.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97454331068,Retention_Save_25pct,Retention,0.2812,Email,"Customer exceeded the data cap in 1 of the last 3 months, shows elevated churn risk.","Dear Customer,

Customer exceeded the data cap in 1 of the last 3 months, shows elevated churn risk.

Based on your recent usage, our Retention Save 25pct keeps you covered.

Ooredoo",APPROVED,offline
97454256415,Data_AddOn_5GB,NBO,0.2666,Push,Customer is an active Mass customer.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97451874371,Data_AddOn_5GB,NBO,0.1478,SMS,Customer exceeded the data cap in 1 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97456654237,Data_AddOn_5GB,NBO,0.1481,SMS,Customer is an active Youth customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97451973548,10GB_Aggressive_HVC,Retention,0.3209,Push,"Customer exceeded the data cap in 1 of the last 3 months, shows elevated churn risk.","Based on your recent usage, our 10GB Aggressive HVC keeps you covered - tap to activate.",APPROVED,offline
97454344014,Retention_Save_25pct,Retention,0.305,Email,"Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk.","Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months, shows elevated churn risk.

Based on your recent usage, our Retention Save 25pct keeps you covered.

Ooredoo",APPROVED,offline
97458064746,Data_AddOn_5GB,NBO,0.2223,SMS,Customer is an active Mass customer.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97457216204,Retention_Save_25pct,Retention,0.3669,SMS,"Customer exceeded the data cap in 1 of the last 3 months, is 58 days from renewal, shows elevated churn risk, logged a recent complaint.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 58 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
97456193542,Retention_Save_25pct,Retention,0.318,Email,"Customer exceeded the data cap in 3 of the last 3 months, shows elevated churn risk.","Dear Customer,

Customer exceeded the data cap in 3 of the last 3 months, shows elevated churn risk.

Based on your recent usage, our Retention Save 25pct keeps you covered.

Ooredoo",APPROVED,offline
97453959034,Data_AddOn_5GB,NBO,0.1523,Push,Customer is 48 days from renewal.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97455574293,Data_AddOn_5GB,NBO,0.1502,Call,Customer exceeded the data cap in 3 of the last 3 months.,AGENT: Customer exceeded the data cap in 3 of the last 3 months. Recommend: Data AddOn 5GB suits your usage.,APPROVED,offline
97457706971,Data_AddOn_5GB,NBO,0.2708,Call,"Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (94% of cap).","AGENT: Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (94% of cap). Recommend: Data AddOn 5GB suits your usage.",APPROVED,offline
97451043585,Data_AddOn_5GB,NBO,0.1076,SMS,Customer exceeded the data cap in 2 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97453539448,Retention_Save_25pct,Retention,0.1954,SMS,"Customer is 47 days from renewal, logged a recent complaint.","Hi! Based on your recent usage, our Retention Save 25pct keeps you covered and your renewal is in 47 days - switch with no penalty. Reply YES. Ooredoo",APPROVED,offline
